                                                   | Single No Top | Single No Kink | Proj No Top | Proj No Kink | Double No Top | Double No Kink | Double Yes Kink | Double Yes Kink w/ skip | Single No Top (2.5D) | Single No Kink (2.5D) | Single Yes Kink (2.5D) | Proj No Top (2.5D) | Proj No Kink (2.5D) | Double No Top (2.5D) | Double No Kink (2.5D) | Double Yes Kink (2.5D) | Double Yes Kink w/ skip (2.5D)
  result_SELECT_4_FermiHubbard2D_cylinder_0_0_0.in |          1141 |           1141 |        1072 |         1072 |          1141 |           1142 |            1197 |                    1197 |                 1141 |                  1141 |                   1141 |               1072 |                1072 |                 1141 |                  1142 |                   1149 |                           1149
  result_SELECT_4_FermiHubbard2D_cylinder_0_0_1.in |           678 |            678 |         632 |          636 |           678 |            679 |             738 |                     738 |                  678 |                   678 |                    678 |                632 |                 633 |                  678 |                   679 |                    719 |                            719
  result_SELECT_4_FermiHubbard2D_cylinder_0_0_2.in |           373 |            378 |         328 |          335 |           373 |            375 |             424 |                     424 |                  373 |                   373 |                    373 |                328 |                 333 |                  373 |                   374 |                    396 |                            400
  result_SELECT_4_FermiHubbard2D_cylinder_0_0_3.in |           230 |            236 |         164 |          190 |           230 |            231 |             274 |                     277 |                  230 |                   230 |                    231 |                164 |                 185 |                  230 |                   231 |                    249 |                            247
  result_SELECT_4_FermiHubbard2D_cylinder_0_0_4.in |           136 |            187 |         110 |          130 |           136 |            144 |             182 |                     180 |                  136 |                   138 |                    139 |                110 |                 125 |                  136 |                   139 |                    155 |                            153
result_SELECT_4_Heisenberg2D_cylinder_0.5_0.5_0.in |           719 |            719 |         624 |          626 |           719 |            720 |             785 |                     785 |                  719 |                   719 |                    719 |                624 |                 624 |                  719 |                   720 |                    754 |                            754
result_SELECT_4_Heisenberg2D_cylinder_0.5_0.5_1.in |           371 |            373 |         312 |          318 |           371 |            372 |             418 |                     418 |                  371 |                   371 |                    371 |                312 |                 317 |                  371 |                   372 |                    418 |                            418
result_SELECT_4_Heisenberg2D_cylinder_0.5_0.5_2.in |           200 |            228 |         157 |          167 |           200 |            205 |             243 |                     243 |                  200 |                   200 |                    204 |                157 |                 164 |                  200 |                   201 |                    231 |                            239
result_SELECT_4_Heisenberg2D_cylinder_0.5_0.5_3.in |           119 |            147 |          80 |          106 |           119 |            131 |             159 |                     157 |                  119 |                   120 |                    124 |                 80 |                  93 |                  119 |                   122 |                    139 |                            140
result_SELECT_4_Heisenberg2D_cylinder_0.5_0.5_4.in |            81 |            144 |          40 |           87 |            81 |            116 |             122 |                     122 |                   81 |                    95 |                     96 |                 40 |                  64 |                   81 |                    87 |                    104 |                            106
result_SELECT_4_Heisenberg2D_cylinder_0.5_0.5_5.in |            66 |            162 |          24 |           84 |            66 |            121 |             128 |                     131 |                   66 |                    93 |                     97 |                 24 |                  59 |                   66 |                    89 |                     98 |                             93
result_SELECT_4_Heisenberg2D_cylinder_0.5_0.5_6.in |            74 |            185 |          24 |           87 |            74 |            133 |             141 |                     140 |                   74 |                   101 |                    104 |                 24 |                  64 |                   74 |                    96 |                    104 |                            103
  result_SELECT_4_Heisenberg2D_cylinder_1_0.5_0.in |          2831 |           2831 |        2496 |         2497 |          2831 |           2832 |            3016 |                    3016 |                 2831 |                  2831 |                   2831 |               2496 |                2498 |                 2831 |                  2832 |                   2942 |                           2942
  result_SELECT_4_Heisenberg2D_cylinder_1_0.5_1.in |          1429 |           1452 |        1248 |         1254 |          1429 |           1431 |            1645 |                    1645 |                 1429 |                  1429 |                   1430 |               1248 |                1251 |                 1429 |                  1430 |                   1502 |                           1502
  result_SELECT_4_Heisenberg2D_cylinder_1_0.5_2.in |           731 |            805 |         624 |          634 |           731 |            749 |             896 |                     896 |                  731 |                   735 |                    744 |                624 |                 633 |                  731 |                   732 |                    810 |                            818
  result_SELECT_4_Heisenberg2D_cylinder_1_0.5_3.in |           389 |            505 |         312 |          337 |           389 |            436 |             530 |                     530 |                  389 |                   397 |                    405 |                312 |                 324 |                  389 |                   397 |                    459 |                            462
  result_SELECT_4_Heisenberg2D_cylinder_1_0.5_4.in |           219 |            411 |         157 |          232 |           219 |            301 |             329 |                     332 |                  219 |                   237 |                    250 |                157 |                 186 |                  219 |                   234 |                    273 |                            277
  result_SELECT_4_Heisenberg2D_cylinder_1_0.5_5.in |           151 |            393 |          80 |          190 |           151 |            267 |             274 |                     276 |                  151 |                   186 |                    199 |                 80 |                 133 |                  151 |                   171 |                    196 |                            196
  result_SELECT_4_Heisenberg2D_cylinder_1_0.5_6.in |           115 |            381 |          48 |          168 |           115 |            244 |             252 |                     252 |                  115 |                   174 |                    182 |                 48 |                 119 |                  115 |                   162 |                    171 |                            171
